osmid,x,y
906711879,77.3040269,28.6021063
906711888,77.3035973,28.6001113
906711890,77.3037604,28.6016655
906711974,77.3057445,28.5996261
906711987,77.3036548,28.5999629
906711989,77.3052143,28.6009758
906711990,77.3038703,28.604412
906711999,77.3073736,28.6014754
906712071,77.3056813,28.6025988
906712072,77.3042431,28.60346
906712075,77.3013288,28.6059529
906712076,77.3053492,28.6034383
906712078,77.3043065,28.6032981
906712085,77.3070689,28.6006117
906712086,77.3061506,28.6035056
906712155,77.3042057,28.6004862
906712157,77.3041055,28.6038114
906712161,77.3041384,28.6006538
906712163,77.3035704,28.6021356
906712164,77.3074397,28.6003472
906712165,77.3029602,28.6017704
906712170,77.3028985,28.6019311
906712227,77.306088,28.606281
906712230,77.3056848,28.5997785
906712233,77.3070516,28.601175
906712234,77.305283,28.6008046
906712236,77.305867,28.5993132
906712239,77.3047602,28.6021394
906712294,77.3053416,28.6006547
906712295,77.303194,28.6031448
906712300,77.3060528,28.6006897
906712303,77.305353,28.6025047
906712304,77.3074994,28.6016973
906712305,77.3033986,28.6006267
906712307,77.3055465,28.6029434
906712360,77.3064424,28.6008078
906712361,77.304809,28.6069791
906712365,77.3045789,28.6075546
906712367,77.3085907,28.6099695
906712369,77.3026358,28.6026152
906712371,77.3034647,28.6004522
906712373,77.3064208,28.6028102
906712427,77.3068236,28.6094421
906712430,77.3055461,28.6019738
906712432,77.3048234,28.6019781
906712434,77.3040911,28.6019394
906712435,77.3068745,28.6016409
906712437,77.3054185,28.6023363
906712507,77.3060367,28.5996376
906712509,77.3039745,28.6022586
906712514,77.3054796,28.6021711
906712522,77.3061241,28.6003296
906712527,77.3046126,28.6006065
906712619,77.3053161,28.5980969
906712622,77.3065472,28.602485
906712623,77.3060817,28.5987649
906712625,77.307699,28.6017586
906712634,77.3025112,28.6029396
906712635,77.3048406,28.5972001
906712700,77.3063916,28.5997433
906712701,77.3075264,28.6025666
906712703,77.3032598,28.6029826
906712714,77.304804,28.6001356
906712716,77.3024448,28.6031209
906712771,77.3045029,28.6027965
906712774,77.3063754,28.600972
906712775,77.3063572,28.5997356
906712777,77.304692,28.6023061
906712781,77.3074171,28.6008162
906712805,77.3028333,28.6021044
906712807,77.3040727,28.6008234
906712915,77.3046456,28.5980824
906712916,77.3076096,28.6008778
906712919,77.3066933,28.6004974
906712921,77.3034548,28.6054675
906712923,77.3076699,28.6012565
906712926,77.3071198,28.6010131
906712974,77.3051479,28.5992767
906712976,77.3030495,28.6035006
906712979,77.3062253,28.5996953
906712981,77.3051522,28.6011385
906713047,77.3027673,28.6022726
906713048,77.3064842,28.6004358
906713049,77.3059038,28.6041491
906713052,77.3059287,28.6009953
906713055,77.3044277,28.6029885
906713058,77.3030626,28.6064743
906713123,77.3077671,28.6015916
906713127,77.3046662,28.5993038
906713131,77.3047415,28.6002923
906713133,77.305084,28.5994287
906713135,77.30353,28.6002866
906713189,77.3036973,28.6018216
906713190,77.3063538,28.6029827
906713193,77.3039199,28.5992713
906713195,77.3052202,28.6037645
906713196,77.3047696,28.5972485
906713200,77.3054694,28.6003286
906713258,77.3059486,28.5991047
906713261,77.3046349,28.6024595
906713265,77.3037144,28.5997937
906713274,77.3023723,28.6033012
906713324,77.3048176,28.5987779
906713326,77.3071858,28.6014213
906713327,77.3030185,28.6016187
906713330,77.3050219,28.5995878
906713332,77.3069322,28.60149
906713334,77.3028455,28.6070287
906713337,77.3049504,28.5997683
906713388,77.3070028,28.6013126
906713389,77.3052982,28.6026614
906713392,77.3073492,28.6009941
906713394,77.3040454,28.5989563
906713396,77.3052838,28.6036037
906713398,77.3057425,28.6024439
906713461,77.305613,28.5999619
906713462,77.3067534,28.6045942
906713464,77.3056141,28.6027687
906713465,77.3041771,28.5985928
906713472,77.3050076,28.5977646
906713527,77.3092206,28.6082984
906713529,77.3074842,28.6012025
906713536,77.3030776,28.6014647
906713541,77.3047262,28.599154
906713543,77.3026924,28.6024678
906713597,77.3050314,28.5988397
906713599,77.3048953,28.6017791
906713600,77.3071148,28.6015811
906713608,77.3064815,28.6026541
906713609,77.305967,28.603978
906713611,77.301709,28.6049539
906713613,77.3055017,28.6078356
906713614,77.3072202,28.6007532
906713617,77.3056018,28.6049176
906713618,77.304108,28.5987923
906713619,77.3063565,28.5993529
906713620,77.303851,28.5994473
906713623,77.3036058,28.6032686
906713624,77.3055368,28.6001564
906713625,77.3057947,28.6013259
906713627,77.3075614,28.6015275
906713629,77.3054819,28.6031029
906713630,77.3062978,28.6003808
906713632,77.3054066,28.6032932
906713635,77.3068089,28.6023503
906713636,77.306287,28.6031581
906713702,77.3025741,28.6027758
906713704,77.3077929,28.6009472
906713705,77.3095827,28.6073116
906713707,77.3011072,28.6065141
906713708,77.3047518,28.6040018
906713710,77.3033252,28.6028216
906713712,77.3037253,28.6029414
906713714,77.3062117,28.5991969
906713715,77.3037791,28.6027939
906713716,77.3072547,28.600663
906713717,77.3060466,28.6114894
906713718,77.3062243,28.603316
906713728,77.306713,28.5998443
